"";"complete";"only birth";"only death";"no birth/death";"incorrect";"alive"
1934;19365;11155;7664;266;8777;47227
1935;18897;10277;7527;266;8486;45453
1936;18387;9385;7357;262;8200;43591
1937;17906;8437;7193;264;7886;41686
1938;17413;7461;7036;296;7552;39758
1939;16976;6497;6906;301;7221;37901
1940;16478;5281;6719;257;6857;35592
1941;15909;4418;6506;209;6516;33558
1942;15295;3679;6332;236;6150;31692
1943;14746;2603;6168;227;5802;29546
1944;14184;1846;5943;510;5503;27986
1945;13546;1405;5705;145;5224;26025
1946;12664;963;5361;204;4749;23941
1947;12230;256;5156;30;4456;22128
1948;11728;182;4944;23;4206;21083
1949;11284;105;4725;16;3951;20081
1950;10756;60;4485;18;3661;18980
1951;10237;0;4226;0;3411;17874
1952;9736;0;3990;0;3238;16964
1953;9292;0;3800;0;3036;16128
1954;8802;0;3575;0;2827;15204
1955;8307;0;3355;0;2604;14266
1956;7823;0;3146;0;2377;13346
1957;7342;0;2918;0;2249;12509
1958;6847;0;2692;0;2102;11641
1959;6325;0;2454;0;1953;10732
1960;5821;0;2223;0;1829;9873
1961;5296;0;2003;0;1704;9003
1962;4871;0;1824;0;1582;8277
1963;4389;0;1611;0;1451;7451
1964;3828;0;1396;0;1325;6549
1965;3321;0;1234;0;1206;5761
1966;2793;0;1037;0;1071;4901
1967;2290;0;859;0;959;4108
1968;1811;0;704;0;835;3350
1969;1299;0;472;0;996;2767
1970;994;0;413;0;263;1670
1971;505;0;239;0;116;860
1972;0;0;0;0;3;3
1973;0;0;0;0;3;3
1974;0;0;0;0;3;3
1975;0;0;0;0;3;3
1976;0;0;0;0;3;3
1977;0;0;0;0;3;3
1978;0;0;0;0;3;3
1979;0;0;0;0;3;3
1980;0;0;0;0;3;3
1981;0;0;0;0;3;3
1982;0;0;0;0;3;3
1983;0;0;0;0;3;3
1984;0;0;0;0;3;3
1985;0;0;0;0;3;3
1986;0;0;0;0;2;2
1987;0;0;0;0;2;2
1988;0;0;0;0;2;2
1989;0;0;0;0;2;2
1990;0;0;0;0;2;2
1991;0;0;0;0;2;2
1992;0;0;0;0;2;2
1993;0;0;0;0;2;2
1994;0;0;0;0;2;2
1995;0;0;0;0;1;1
